choice,bet_amount,won,vrfChoice
false,0,false,true
false,0,true,false
false,0,true,false
false,0,true,false
false,0,false,true
false,0,true,false
false,0,false,true
false,0,true,false
false,0,true,false
false,0,true,false
false,0,false,true
false,0,true,false
false,0,false,true
false,0,false,true
true,0,true,true
true,0,true,true
true,0,false,false
true,0,false,false
false,0,true,false
false,0,true,false
false,0,false,true
false,0,true,false
false,0,true,false
false,0,false,true
false,0,true,false
false,0,false,true
false,0,false,true
true,0,true,true
true,0,false,false
true,0,false,false
false,0,true,false
false,0,false,true
false,0,true,false
false,0,false,true
false,0,true,false
false,0,true,false
false,0,false,true
false,0,true,false
false,0,false,true
false,0,true,false
false,0,true,false
false,0,true,false
false,0,false,true
false,0,true,false
false,0,false,true
false,0,false,true
true,0,false,false
false,0,false,true
true,0,false,false
false,0,true,false
false,0,false,true
false,0,true,false
false,0,true,false
false,0,true,false
false,0,false,true
false,0,true,false
false,0,true,false
false,0,true,false
false,0,false,true
false,0,false,true
true,0,false,false
false,0,true,false
false,0,false,true
false,0,false,true
true,0,true,true
true,0,false,false
true,0,true,true
true,0,true,true
true,0,true,true
true,0,true,true
true,0,false,false
true,0,false,false
false,0,true,false
false,0,true,false
false,0,true,false
false,0,true,false
false,0,true,false
false,0,false,true
false,0,false,true
true,0,false,false
false,0,true,false
false,0,true,false
false,0,false,true
false,0,false,true
true,0,false,false
false,0,false,true
true,0,false,false
false,0,true,false
false,0,true,false
false,0,false,true
false,0,false,true
true,0,false,false
false,0,false,true
true,0,true,true
true,0,false,false
true,0,true,true
true,0,true,true
true,0,true,true
true,0,true,true
true,0,true,true
true,0,false,false
false,0,true,false
false,0,true,false
false,0,false,true
true,0,true,true
true,0,false,false
false,0,false,true
true,0,true,true
true,0,true,true
true,0,false,false
false,0,true,false
false,0,false,true
true,0,false,false
false,0,false,true
true,0,true,true
true,0,true,true
true,0,true,true
true,0,true,true
true,0,true,true
true,0,false,false
false,0,true,false
false,0,true,false
false,0,false,true
true,0,true,true
true,0,true,true
true,0,false,false
false,0,true,false
false,0,true,false
false,0,true,false
